x,y,z
522398,8418255,337.413
522408,8418255,334.556
522418,8418255,332.352
522428,8418255,330.402
522438,8418255,328.758
522448,8418255,327.229
522019,8418245,333.398
522029,8418245,328.359
522038,8418245,323.883
522048,8418245,320.695
522058,8418245,318.883
522068,8418245,318.32
522078,8418245,318.984
522088,8418245,320.805
522098,8418245,323.367
522108,8418245,326.633
522118,8418245,330.609
522128,8418245,334.969
522138,8418245,339.414
522148,8418245,343.883
522158,8418245,348.359
522168,8418245,352.891
522178,8418245,357.438
522188,8418245,361.906
522198,8418245,365.945
522208,8418245,369.516
522218,8418245,372.617
522228,8418245,375.141
522238,8418245,377.008
522248,8418245,378.336
522258,8418245,379.242
522268,8418245,379.563
522278,8418245,379.188
522288,8418245,378.07
522298,8418245,376.133
522308,8418245,373.406
522318,8418245,370.188
522328,8418245,366.563
522338,8418245,362.664
522348,8418245,358.742
522358,8418245,355.031
522368,8418245,351.477
522378,8418245,347.984
522388,8418245,344.578
522398,8418245,341.328
522408,8418245,338.43
522418,8418245,336.055
522428,8418245,334.078
522438,8418245,332.359
522448,8418245,330.844
522019,8418235,329.375
522028,8418235,324.464
522038,8418235,319.815
522048,8418235,317.008
522058,8418235,315.881
522068,8418235,316.094
522078,8418235,317.606
522088,8418235,320.142
522098,8418235,323.148
522108,8418235,326.808
522118,8418235,330.969
522128,8418235,335.459
522138,8418235,339.961
522148,8418235,344.453
522158,8418235,349.011
522168,8418235,353.539
522178,8418235,358.054
522188,8418235,362.54
522198,8418235,366.438
522208,8418235,369.849
522218,8418235,372.836
522228,8418235,375.245
522238,8418235,377
522248,8418235,378.256
522258,8418235,379.226
522268,8418235,379.633
522278,8418235,379.456
522288,8418235,378.672
522298,8418235,377.263
522308,8418235,375.144
522318,8418235,372.547
522328,8418235,369.522
522338,8418235,366.117
522348,8418235,362.617
522358,8418235,359.191
522368,8418235,355.773
522378,8418235,352.378
522388,8418235,348.922
522398,8418235,345.612
522408,8418235,342.569
522418,8418235,340.125
522428,8418235,338.126
522438,8418235,336.273
522448,8418235,334.687
522018,8418225,325.234
522028,8418225,320.518
522038,8418225,316.013
522048,8418225,313.695
522058,8418225,313.149
522068,8418225,314.281
522078,8418225,316.545
522088,8418225,319.636
522098,8418225,323.148
522108,8418225,327.099
522118,8418225,331.422
522128,8418225,335.981
522138,8418225,340.556
522148,8418225,345.156
522158,8418225,349.753
522168,8418225,354.313
522178,8418225,358.761
522188,8418225,363.143
522198,8418225,366.914
522208,8418225,370.18
522218,8418225,373
522228,8418225,375.277
522238,8418225,376.953
522248,8418225,378.196
522258,8418225,379.188
522268,8418225,379.688
522278,8418225,379.704
522288,8418225,379.242
522298,8418225,378.301
522308,8418225,376.806
522318,8418225,374.773
522328,8418225,372.359
522338,8418225,369.5
522348,8418225,366.453
522358,8418225,363.3
522368,8418225,360.086
522378,8418225,356.789
522388,8418225,353.359
522398,8418225,349.961
522408,8418225,346.848
522418,8418225,344.359
522428,8418225,342.219
522438,8418224,340.289
522448,8418224,338.566
522018,8418215,320.922
522028,8418215,316.461
522038,8418215,312.758
522048,8418215,310.977
522058,8418215,311.172
522068,8418215,313.055
522078,8418215,316.031
522088,8418215,319.531
522098,8418215,323.359
522108,8418215,327.5
522118,8418215,331.945
522128,8418215,336.578
522138,8418215,341.266
522148,8418215,345.992
522158,8418215,350.688
522168,8418214,355.242
522178,8418214,359.625
522188,8418214,363.75
522198,8418214,367.367
522208,8418214,370.477
522218,8418214,373.102
522228,8418214,375.234
522238,8418214,376.875
522248,8418214,378.133
522258,8418214,379.117
522268,8418214,379.711
522278,8418214,379.898
522288,8418214,379.703
522298,8418214,379.109
522308,8418214,378.102
522318,8418214,376.633
522328,8418214,374.766
522338,8418214,372.523
522348,8418214,369.977
522358,8418214,367.188
522368,8418214,364.258
522378,8418214,361.141
522388,8418214,357.813
522398,8418214,354.469
522408,8418214,351.383
522418,8418214,348.734
522428,8418214,346.398
522438,8418214,344.297
522448,8418214,342.406
522018,8418204,316.688
522028,8418204,312.89
522038,8418204,309.671
522048,8418204,308.773
522058,8418204,309.739
522068,8418204,312.398
522078,8418204,316.044
522088,8418204,319.819
522098,8418204,323.789
522108,8418204,328.012
522118,8418204,332.57
522128,8418204,337.295
522138,8418204,342.058
522148,8418204,346.906
522158,8418204,351.695
522168,8418204,356.219
522178,8418204,360.484
522188,8418204,364.447
522198,8418204,367.813
522208,8418204,370.711
522218,8418204,373.18
522228,8418204,375.187
522238,8418204,376.781
522248,8418204,378.032
522258,8418204,379.088
522268,8418204,379.719
522278,8418204,380.02
522288,8418204,380.055
522298,8418204,379.753
522308,8418204,379.154
522318,8418204,378.164
522328,8418204,376.795
522338,8418204,375.141
522348,8418204,373.108
522358,8418204,370.7
522368,8418204,368.125
522378,8418204,365.287
522388,8418204,362.102
522398,8418204,358.861
522408,8418204,355.772
522418,8418204,353.055
522428,8418204,350.589
522438,8418204,348.297
522448,8418204,346.224
522018,8418194,312.75
522028,8418194,309.594
522038,8418194,307.477
522048,8418194,307.305
522058,8418194,309.008
522068,8418194,312.266
522078,8418194,316.273
522088,8418194,320.359
522098,8418194,324.492
522108,8418194,328.789
522118,8418194,333.367
522128,8418194,338.117
522138,8418194,342.945
522148,8418194,347.852
522158,8418194,352.664
522168,8418194,357.172
522178,8418194,361.32
522188,8418194,365.031
522198,8418194,368.211
522208,8418194,370.922
522218,8418194,373.227
522228,8418194,375.133
522238,8418194,376.695
522248,8418194,377.977
522258,8418194,379.008
522268,8418194,379.719
522278,8418194,380.133
522288,8418194,380.328
522298,8418194,380.281
522308,8418194,379.984
522318,8418194,379.383
522328,8418194,378.492
522338,8418194,377.297
522348,8418194,375.758
522358,8418194,373.781
522368,8418194,371.508
522378,8418194,368.938
522388,8418194,365.984
522398,8418194,362.93
522408,8418194,359.953
522418,8418194,357.188
522428,8418194,354.625
522438,8418194,352.25
522448,8418194,350.063
522018,8418184,309.352
522028,8418184,307.15
522038,8418184,305.826
522048,8418184,306.563
522058,8418184,308.884
522068,8418184,312.766
522078,8418184,317.174
522088,8418184,321.325
522098,8418184,325.5
522108,8418184,329.769
522118,8418184,334.367
522128,8418184,339.102
522138,8418184,343.897
522148,8418184,348.844
522158,8418184,353.686
522168,8418184,358.086
522178,8418184,362.083
522188,8418184,365.582
522198,8418184,368.555
522208,8418184,371.112
522218,8418184,373.273
522228,8418184,375.106
522238,8418184,376.617
522248,8418184,377.884
522258,8418184,378.98
522268,8418184,379.711
522278,8418184,380.178
522288,8418184,380.484
522298,8418184,380.628
522308,8418184,380.588
522318,8418184,380.242
522328,8418184,379.729
522338,8418184,378.922
522348,8418184,377.837
522358,8418184,376.178
522368,8418184,374.258
522378,8418184,372.07
522388,8418184,369.344
522398,8418184,366.506
522408,8418184,363.687
522418,8418184,360.992
522428,8418184,358.469
522438,8418184,356.109
522448,8418184,353.932
522018,8418174,306.656
522028,8418174,305.492
522038,8418174,305.356
522048,8418174,306.859
522058,8418174,309.821
522068,8418174,313.945
522078,8418174,318.549
522088,8418174,322.746
522098,8418174,326.875
522108,8418174,331.142
522118,8418174,335.633
522128,8418174,340.284
522138,8418174,344.984
522148,8418174,349.883
522158,8418174,354.641
522168,8418174,358.938
522178,8418174,362.746
522188,8418174,366.016
522198,8418174,368.836
522208,8418173,371.242
522218,8418173,373.32
522228,8418173,375.094
522238,8418173,376.57
522248,8418173,377.831
522258,8418173,378.925
522268,8418173,379.68
522278,8418173,380.181
522288,8418173,380.563
522298,8418173,380.78
522308,8418173,380.856
522318,8418173,380.742
522328,8418173,380.396
522338,8418173,379.938
522348,8418173,379.08
522358,8418173,377.765
522368,8418173,376.266
522378,8418173,374.364
522388,8418173,372.031
522398,8418173,369.435
522408,8418173,366.889
522418,8418173,364.398
522428,8418173,362.021
522438,8418173,359.813
522448,8418173,357.802
522018,8418163,304.914
522028,8418163,304.766
522038,8418163,305.719
522048,8418163,307.945
522058,8418163,311.32
522068,8418163,315.586
522078,8418163,320.102
522088,8418163,324.352
522098,8418163,328.469
522108,8418163,332.656
522118,8418163,337.086
522128,8418163,341.656
522138,8418163,346.328
522148,8418163,351.086
522158,8418163,355.664
522168,8418163,359.813
522178,8418163,363.422
522188,8418163,366.492
522198,8418163,369.141
522208,8418163,371.422
522218,8418163,373.406
522228,8418163,375.102
522238,8418163,376.555
522248,8418163,377.805
522258,8418163,378.852
522268,8418163,379.633
522278,8418163,380.195
522288,8418163,380.617
522298,8418163,380.914
522308,8418163,381.078
522318,8418163,381.086
522328,8418163,380.938
522338,8418163,380.641
522348,8418163,380.031
522358,8418163,379.055
522368,8418163,377.805
522378,8418163,376.203
522388,8418163,374.188
522398,8418163,371.938
522408,8418163,369.656
522418,8418163,367.406
522428,8418163,365.273
522438,8418163,363.313
522448,8418163,361.555
522018,8418153,304.211
522028,8418153,305.086
522038,8418153,306.841
522048,8418153,309.703
522058,8418153,313.269
522068,8418153,317.68
522078,8418153,322.166
522088,8418153,326.241
522098,8418153,330.234
522108,8418153,334.267
522118,8418153,338.711
522128,8418153,343.255
522138,8418153,347.819
522148,8418153,352.477
522158,8418153,356.876
522168,8418153,360.789
522178,8418153,364.185
522188,8418153,367.001
522198,8418153,369.469
522208,8418153,371.614
522218,8418153,373.523
522228,8418153,375.168
522238,8418153,376.563
522248,8418153,377.769
522258,8418153,378.84
522268,8418153,379.609
522278,8418153,380.181
522288,8418153,380.648
522298,8418153,380.991
522308,8418153,381.217
522318,8418153,381.297
522328,8418153,381.267
